Starting the logger (C:\Users\jose.cardenas\AppData\Local\Android\Sdk/platform-tools/adb logcat *:S ReactNative:V ReactNativeJS:V)...
--------- beginning of main
--------- beginning of system
11-13 18:02:44.310  3670  3697 E ReactNativeJS: 'Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s', '2', '\n    in RCTView (at View.js:44)\n    in RCTScrollView (at ScrollView.js:977)\n    in ScrollView (at VirtualizedList.js:1062)\n    in VirtualizedList (at FlatList.js:663)\n    in FlatList (at product-list.js:11)\n    in ProductList (at cart-screen.js:13)\n    in RCTView (at View.js:44)\n    in CartScreen (created by Connect(CartScreen))\n    in Connect(CartScreen) (at SceneView.js:9)\n    in SceneView (at StackViewLayout.js:478)\n    in RCTView (at View.js:44)\n    in RCTView (at View.js:44)\n    in RCTView (at View.js:44)\n    in AnimatedComponent (at screens.native.js:58)\n    in Screen (at StackViewCard.js:42)\n    in Card (at createPointerEventsContainer.js:26)\n    in Container (at StackViewLayout.js:507)\n    in RCTView (at View.js:44)\n    in ScreenContainer (at StackViewLayout.js:401)\n    in RCTView (at View.js:44)\n    in StackViewLayout (at withOrientation.js:30)\n    in withOrientation (at StackView.js:49)\n    in RCTView (at View.js:44)\n    in Transitioner (at StackView.js:19)\n    in StackView (at createNavigator.js:57)\n    in Navigator (at createKeyboardAwareNavigator.js:11)\n    in KeyboardAwareNavigator (at createNavigationContainer.js:376)\n    in NavigationContainer (at my-shopping.js:8)\n    in MyShopping (at App.js:12)\n    in Provider (at App.js:11)\n    in App (at renderApplication.js:34)\n    in RCTView (at View.js:44)\n    in RCTView (at View.js:44)\n    in AppContainer (at renderApplication.js:33)'
11-13 18:02:54.212  3670  3697 E ReactNativeJS: 'Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s', '2', '\n    in RCTView (at View.js:44)\n    in RCTScrollView (at ScrollView.js:977)\n    in ScrollView (at VirtualizedList.js:1062)\n    in VirtualizedList (at FlatList.js:663)\n    in FlatList (at product-list.js:11)\n    in ProductList (at cart-screen.js:13)\n    in RCTView (at View.js:44)\n    in CartScreen (created by Connect(CartScreen))\n    in Connect(CartScreen) (at SceneView.js:9)\n    in SceneView (at StackViewLayout.js:478)\n    in RCTView (at View.js:44)\n    in RCTView (at View.js:44)\n    in RCTView (at View.js:44)\n    in AnimatedComponent (at screens.native.js:58)\n    in Screen (at StackViewCard.js:42)\n    in Card (at createPointerEventsContainer.js:26)\n    in Container (at StackViewLayout.js:507)\n    in RCTView (at View.js:44)\n    in ScreenContainer (at StackViewLayout.js:401)\n    in RCTView (at View.js:44)\n    in StackViewLayout (at withOrientation.js:30)\n    in withOrientation (at StackView.js:49)\n    in RCTView (at View.js:44)\n    in Transitioner (at StackView.js:19)\n    in StackView (at createNavigator.js:57)\n    in Navigator (at createKeyboardAwareNavigator.js:11)\n    in KeyboardAwareNavigator (at createNavigationContainer.js:376)\n    in NavigationContainer (at my-shopping.js:8)\n    in MyShopping (at App.js:12)\n    in Provider (at App.js:11)\n    in App (at renderApplication.js:34)\n    in RCTView (at View.js:44)\n    in RCTView (at View.js:44)\n    in AppContainer (at renderApplication.js:33)'
11-13 18:03:25.981  3670  3697 E ReactNativeJS: 'Warning: Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version.%s', '2', '\n    in RCTView (at View.js:44)\n    in RCTScrollView (at ScrollView.js:977)\n    in ScrollView (at VirtualizedList.js:1062)\n    in VirtualizedList (at FlatList.js:663)\n    in FlatList (at product-list.js:11)\n    in ProductList (at cart-screen.js:13)\n    in RCTView (at View.js:44)\n    in CartScreen (created by Connect(CartScreen))\n    in Connect(CartScreen) (at SceneView.js:9)\n    in SceneView (at StackViewLayout.js:478)\n    in RCTView (at View.js:44)\n    in RCTView (at View.js:44)\n    in RCTView (at View.js:44)\n    in AnimatedComponent (at screens.native.js:58)\n    in Screen (at StackViewCard.js:42)\n    in Card (at createPointerEventsContainer.js:26)\n    in Container (at StackViewLayout.js:507)\n    in RCTView (at View.js:44)\n    in ScreenContainer (at StackViewLayout.js:401)\n    in RCTView (at View.js:44)\n    in StackViewLayout (at withOrientation.js:30)\n    in withOrientation (at StackView.js:49)\n    in RCTView (at View.js:44)\n    in Transitioner (at StackView.js:19)\n    in StackView (at createNavigator.js:57)\n    in Navigator (at createKeyboardAwareNavigator.js:11)\n    in KeyboardAwareNavigator (at createNavigationContainer.js:376)\n    in NavigationContainer (at my-shopping.js:8)\n    in MyShopping (at App.js:12)\n    in Provider (at App.js:11)\n    in App (at renderApplication.js:34)\n    in RCTView (at View.js:44)\n    in RCTView (at View.js:44)\n    in AppContainer (at renderApplication.js:33)'
11-13 18:32:24.137  5031  5031 D ReactNative: ReactInstanceManager.ctor()
11-13 18:32:24.157  5031  5031 D ReactNative: ReactInstanceManager.createReactContextInBackground()
11-13 18:32:24.157  5031  5031 D ReactNative: ReactInstanceManager.recreateReactContextInBackgroundInner()
11-13 18:32:24.196  5031  5031 D ReactNative: ReactInstanceManager.recreateReactContextInBackgroundFromBundleLoader()
11-13 18:32:24.196  5031  5031 D ReactNative: ReactInstanceManager.recreateReactContextInBackground()
11-13 18:32:24.197  5031  5031 D ReactNative: ReactInstanceManager.runCreateReactContextOnNewThread()
11-13 18:32:24.214  5031  5055 D ReactNative: ReactInstanceManager.createReactContext()
11-13 18:32:24.400  5031  5055 D ReactNative: Initializing React Xplat Bridge.
11-13 18:32:24.406  5031  5055 D ReactNative: Initializing React Xplat Bridge before initializeBridge
11-13 18:32:24.412  5031  5055 D ReactNative: Initializing React Xplat Bridge after initializeBridge
11-13 18:32:24.413  5031  5055 D ReactNative: CatalystInstanceImpl.runJSBundle()
11-13 18:32:24.421  5031  5059 D ReactNative: ReactInstanceManager.setupReactContext()
11-13 18:32:24.421  5031  5059 D ReactNative: CatalystInstanceImpl.initialize()
